"";"CC34_36_S5";"CC35_S16";"CC37_1_S6";"CC37_2_S31";"CC38_S32";"CC39_S33";"CC41_S34";"CC42_1_S17";"CC42_2_S35";"CC45_S15";"CCR43_S36";"CCR44_S37";"CCR45_S38";"CCR47_S39";"CCR48_S40";"CCR50_S20";"CCR51_S19";"CCR55_S7";"CCR56_S8";"CCR62_S18";"CR18_S13";"CR19_S14";"CR23_S3";"CR24_S4";"CR29_S12";"CR31_S26";"CR32_S27";"CR33_S28";"CR35_S29";"CR36_S30";"CV1_S1";"CV13_S10";"CV14_S11";"CV16_S2";"CV25_S21";"CV26_S22";"CV27_S23";"CV29_S24";"CV30_S25";"CV5_S9"
"ASV121";"51";"0";"193";"0";"31";"0";"261";"36";"44";"0";"191";"223";"14";"43";"127";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"47";"116";"121";"176";"184";"0";"14";"0";"0";"99";"59";"22";"37";"47";"0"
"ASV122";"34";"0";"64";"0";"0";"0";"102";"54";"26";"12";"99";"125";"12";"20";"70";"34";"103";"63";"151";"125";"66";"71";"60";"119";"46";"36";"62";"57";"72";"95";"0";"159";"36";"0";"50";"27";"80";"0";"0";"0"
"ASV123";"53";"12";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"433";"84";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"42";"0";"0";"0";"105";"471";"782"
"ASV124";"96";"0";"2";"19";"0";"16";"0";"0";"0";"0";"169";"240";"395";"249";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"0";"24";"0";"0";"347";"193";"0";"36";"96";"22";"47";"44";"0"
"ASV125";"0";"7";"0";"0";"0";"0";"45";"0";"9";"0";"25";"39";"0";"26";"179";"0";"0";"20";"0";"0";"0";"0";"42";"340";"0";"8";"587";"42";"571";"67";"0";"0";"0";"0";"21";"28";"8";"0";"13";"0"
"ASV126";"0";"319";"0";"0";"0";"0";"0";"1265";"0";"338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"138"
"ASV127";"0";"19";"0";"35";"100";"52";"0";"14";"0";"0";"139";"72";"277";"126";"117";"67";"147";"321";"134";"25";"104";"40";"0";"0";"0";"192";"20";"0";"0";"5";"0";"0";"0";"4";"0";"0";"26";"0";"0";"10"
"ASV128";"152";"0";"24";"17";"0";"0";"207";"661";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"14";"10";"0";"13";"38";"19";"548";"295";"0"
"ASV129";"55";"164";"21";"0";"0";"0";"0";"84";"0";"206";"0";"0";"0";"0";"0";"32";"17";"10";"3";"35";"22";"18";"31";"37";"9";"0";"0";"0";"0";"0";"0";"69";"1127";"15";"0";"0";"0";"0";"0";"54"
"ASV130";"0";"0";"50";"0";"0";"0";"150";"0";"67";"0";"186";"275";"0";"36";"326";"0";"55";"0";"0";"189";"0";"33";"0";"0";"0";"0";"50";"0";"174";"185";"0";"0";"0";"0";"0";"0";"0";"26";"165";"0"
"ASV131";"83";"21";"4";"0";"0";"0";"0";"5";"0";"61";"17";"56";"67";"137";"250";"93";"70";"226";"327";"5";"15";"0";"136";"16";"13";"95";"15";"17";"78";"45";"37";"4";"9";"36";"10";"0";"0";"0";"0";"3"
"ASV132";"0";"0";"0";"108";"16";"53";"0";"0";"17";"0";"130";"29";"0";"298";"25";"15";"238";"0";"49";"282";"109";"49";"164";"34";"22";"32";"30";"105";"0";"17";"0";"0";"0";"0";"0";"33";"28";"35";"0";"0"
"ASV133";"374";"74";"0";"14";"53";"0";"29";"0";"0";"23";"61";"39";"70";"88";"53";"10";"0";"0";"147";"33";"48";"269";"69";"97";"0";"0";"0";"0";"0";"53";"66";"47";"0";"51";"0";"23";"0";"106";"0";"8"
"ASV134";"0";"0";"18";"0";"0";"0";"0";"13";"0";"0";"379";"240";"172";"74";"0";"132";"54";"0";"17";"121";"30";"52";"0";"0";"0";"203";"200";"26";"17";"21";"0";"31";"0";"0";"0";"6";"0";"0";"0";"0"
"ASV135";"101";"71";"0";"16";"18";"58";"37";"47";"0";"55";"0";"141";"0";"0";"84";"0";"147";"55";"148";"81";"0";"41";"0";"57";"0";"0";"14";"0";"283";"244";"0";"30";"0";"0";"0";"0";"0";"9";"28";"0"
"ASV136";"347";"84";"0";"21";"68";"0";"0";"15";"0";"0";"75";"35";"0";"92";"46";"0";"0";"0";"193";"28";"44";"250";"66";"95";"0";"0";"0";"0";"38";"68";"66";"0";"0";"0";"0";"27";"0";"79";"0";"0"
"ASV137";"201";"12";"12";"0";"8";"107";"14";"0";"12";"0";"44";"10";"25";"20";"58";"10";"4";"107";"40";"0";"0";"0";"32";"3";"0";"24";"20";"89";"23";"23";"484";"0";"0";"94";"53";"0";"9";"122";"15";"61"
"ASV138";"0";"55";"0";"0";"0";"54";"0";"0";"0";"116";"0";"0";"0";"0";"0";"0";"0";"56";"37";"60";"56";"68";"149";"203";"174";"0";"90";"0";"0";"0";"0";"110";"71";"0";"138";"0";"63";"0";"37";"199"
